data;soma;Agua_Grande;Aldeia_Campista;Alvorada;Areia_Branca;Ari_Franco;Baependi;Barra;Boca_do_Mato;Botafogo;Bras_de_Pina_13kV;Bras_de_Pina_25kV;Brisamar;Cachambi;Cachamorra;Camara;Camerino_1;Camerino_2;Campo_Marte_13kV;Campo_Marte_25kV;Carmari;Cascadura_13kV;Cascadura_25kV;Caxias;Centenario;Coelho_da_Rocha;Colegio;Comendador_Soares;Copacabana;Cosmos;Curicica;Democraticos;Eldorado;Esperanca_13kV;Esperanca_25kV;Fontinele;Fundao;Gardenia;Governador;Guadalupe;Guanabara;Humaita;Influencia;Inmetro;Itaguai;Itapeba;Jaboatao;Jardim_Botanico;Leblon;Leme;Leopoldo;Mackenzie;Marapicu;Mato_Alto;Maturaca;Mena_Barreto;Meriti_13kV;Meriti_25kV;Nova_Iguacu_13kV;Nova_Iguacu_13kV;Paciencia;Padre_Miguel;Pavuna;Pedro_Ernesto;Piedade;Porta_Dagua_13kV;Porta_Dagua_25kV;Posto_Seis;Queimados;Ramos;Recreio;Retiro;Rio_Comprido;Rocha_Freire;Rosali;Samaritano;Santa_Cecilia;Santa_Clara;Santa_Luzia;Santissimo;Santo_Antonio_1;Santo_Antonio_2;Sao_Conrado;Sao_Joao;Sapucaia;Sarapui;Saudade;Seropedica;Taquara;Terra_Nova;Tres_Rios_13kV;Tres_Rios_25kV;Triagem_13kV;Triagem_25kV;Trovao;Turiacu;Uruguai;Vigario;Vigario_Geral;Vila_Valqueire;Vilar_dos_Teles;Volta_Redonda_13kV;Volta_Redonda_25kV;Washington_Luis;Zona_Industrial
2010-01-01;2486532.98;24830.87;30536.3;45171.21;49006.33;35455.44;42932.14;57565.61;28980.59;30600.61;27341.77;3744.2;9950.94;41464.48;27318.53;54739.77;12718.67;22402.63;23887.16;4033.56;0;42326.23;6849.28;51635.87;14836.11;23042.16;29091.23;33786.19;30822.16;28731.42;42570.2;24619.43;4460.26;41230.15;26129.97;14283.95;12530;0;26520.77;32192.38;22033.32;18054.06;0;9616.38;0;26922.52;34960.38;31790.05;34527.5;17124.59;26435.31;20379.02;0;16732.57;24076.33;51591.25;26852.34;4184.58;41690.25;12546.56;0;32576.28;29226.16;27719.33;25618;61860.54;13211.57;45878.55;27175.2;24372.93;16145.25;13847.37;41447.16;24082.46;40763.25;20279.61;16092.94;17341.73;23984.95;29884.56;29742.25;17969.7;22355.62;0;3130;32871;4747.09;15876;32563.03;27767.04;10733.51;12167.02;21275.1;11420.81;25824.35;28838.66;23039.03;4612.38;25667;25484.85;22653.39;23027.4;7474.81;30336.75;17592.84
2010-02-01;2348194.43;22542.8;28762.12;41488.1;46347.26;33226.95;40250.8;52436.85;27083.89;29636.43;25943.79;3164.37;10290.74;38354.6;24438.02;51406.32;14284.93;17673.23;21689.95;2852.46;0;39353;5600.39;48468.29;14314.98;21416.69;25100;32312.78;27566.84;26113.44;39875.32;23286.21;5209.53;36508.56;20516.81;12875.24;10877.32;0;23652.31;32617.94;26827.55;16361.34;0;9203;0;23492.16;37094.14;31672.72;31739.5;15258.8;25030.13;20720.49;0;17541.26;23292.2;49329.1;24226.44;2672.56;38590.83;8408.91;0;31137;32729.2;24634.96;26929;56032;11707;42088;32180.31;25510.64;15445;14056.91;38227.84;20436.18;39983.13;18982.76;14897.64;14771.98;21788.59;27724;21925.54;22163.46;20014.59;0;1893;32365.96;4633.33;17654.13;31438.31;22144.27;10861.14;11530.96;23462.29;12191.64;24127.04;25563.12;22190.88;3976.33;24867.94;28983.07;21663.19;20398.47;9874.26;29196.64;16812.41
2010-03-01;2369002.71;22135.71;29705.62;41308.27;46990.32;32222.2;38856.73;60136.62;27794.38;30019.12;26437.54;6317.65;11691;34900.1;23119.54;50107.06;14129.81;19248.59;24185.18;3827.27;0;37420.24;6348.58;49319.82;16981.5;20739.17;26675.32;33475.95;26585.82;26314.94;38939.76;27856.18;5687.74;35147.5;19975.05;13839.55;13082.21;0;23229.04;33628.32;25838.12;16829.52;0;9167.25;0;23057.91;39390.83;30737.01;32062;15647.74;24234.63;23358.22;0;16378.2;22567.34;45391.48;23495.91;3110.95;40784.66;15146.9;0;30813.75;26120.55;22491.34;28820;58992.2;11516.59;39667.92;29417.29;28473.59;16094.41;15167.72;36736.88;22809.55;40055.12;18506.62;15258.52;14740.31;25257.94;24746.01;23525.71;25392.03;19736.69;0;1934;32007.15;6017.17;16567;30569.48;23914.97;11994.26;12589.79;23088.14;11782.02;22101.38;25111.43;21173.83;4279.41;25000.85;24746.19;22501.48;21758.93;8521.06;27282.59;16142.81
2010-04-01;2056254.45;17859.43;24673.68;36345.58;39365.35;28072.78;34229.42;48753.23;22359.26;24795.05;23927.25;5076.31;8115.83;29634.73;19157.36;40064.19;12143.56;15260.24;20413.41;4488.79;0;34846.25;7368.69;42290.05;17259.94;18812.06;22478.83;30155.11;22399.12;22899.86;33051.83;18722.77;5723.87;32097.64;21172.2;12410.81;11009;0;19155.74;29348.55;22453.07;14480.4;0;8142.02;0;20785.58;41092.57;25370.75;26500.5;13786.75;20289.43;19316.86;0;18090.5;20136.73;41351.43;20898.42;2405.32;34310.12;14529.22;0;27663.75;22995.11;17663.27;24320;50294;9885.28;33787.18;28855.26;22678.17;15910.9;14011.41;29640.98;20301.34;36599.5;15412.53;14545.37;14572;20318.55;19995.63;18365.49;21329.33;18602.81;0;1826;29319.54;5066.21;15150;25317.68;23666.49;10507.4;11617.73;18119.13;8355.64;20508.33;21477.52;17159.06;3942.07;21488.73;19947.1;18238.04;19442.4;8518;24303.89;14658.24
2010-05-01;1956344.84;15725.91;23103.05;37400.7;37937.84;26003.69;32782.49;44767.84;20892.38;24240.2;21241.47;4093.26;7662.43;27887.99;18203.76;39395.52;10911.37;19662.29;20467.67;4335.81;0;32444.85;6943.35;39262.33;18425.62;17325.03;21256.82;27838.25;20945.28;22489.31;30426.76;18117.58;6513.59;30703.76;19209.39;12854.03;12220;0;18701.78;27243.78;20826.09;13921.16;0;8197.39;0;19798.16;37434.04;24877.87;25047.25;11296.17;18511.51;17432;0;14362.2;18791.69;37939.22;20436.19;2477.55;32036.72;13409.56;0;25718.88;18501.52;18031.55;21760;42852;13943;31599.7;23717.29;19518.13;14528.5;12731.81;30011.57;19142.11;34952.38;14579.97;16069.57;12093.68;20499.12;24728.9;19903.87;21334.33;16608.38;0;1797;27196.6;6004.67;15926;24833.94;22814.14;10514.13;11654.75;17877.87;6203.24;19584.2;20317.05;15345.84;4033.54;20008.99;18287.03;16846.92;20209.76;6642.91;25391.6;15596.48
2010-06-01;1723180.63;13762.38;19754.66;31949.67;32862.1;22695.95;28775.74;39628.3;17396.18;21500.7;18770.78;4543.74;7180.28;25116.1;15934.55;35772.11;9497.85;19450.91;18103.7;4918.03;0;28455.22;6277.02;33579.65;18873.09;14594.63;18312.29;23526.53;18251.12;21385.01;28155.14;16466.74;4287.04;27054.52;18632.72;12925;9370;0;16387.22;23131.01;17835.41;11831.05;0;7454.04;0;17554.14;31903.67;21821.4;22060.25;11782.54;15987.12;12639.36;0;10943.9;16894.25;31151.21;16188.53;1959.76;27300.77;9529.28;0;21552.38;18313.25;15677.72;19560;37313;12561.76;27275.96;24052.55;16880.52;13286.71;11132.78;26074.58;17744.13;29606.5;12831.37;14978.32;11578.34;16479.64;22429.76;17214.77;19268.88;15063.92;0;1846;21806.95;5373.2;12215.14;22400.75;19475.57;9391.45;11181.76;15498.18;6521.48;17377.98;17709.47;14333.81;3768.15;17505.99;16311.03;15405.96;20107.67;6903.93;21153.58;13901.45
2010-07-01;1878017.15;17072.57;20591.32;34004.69;36295.79;24423.07;31329.45;42652.83;18240.24;22437.69;20661.5;3615.92;7975.69;27773.9;17324.5;38052.1;10553.12;19652.85;19881.45;4585.89;0;31285.38;6236.38;36930.32;20121.78;15917.09;19735.34;25859.66;19893.82;26404.08;30441.73;17338.61;4580.12;29135.43;20456.91;13058.59;10111;0;17692.25;24543.78;19733.59;13581.24;0;7970.94;0;19295.78;34618.76;23986.2;23351.5;12507.28;17821.66;15980.95;0;11853.99;16863.02;35229.03;18698.58;2675.35;30414.77;14877.59;0;23320.28;19657.14;17253.73;21410;41205;12980.49;29504.64;23491.65;18596.38;13935.7;12309.91;28896.39;11874.08;33374.63;13503.87;14445.91;12951.47;18775.43;24386.23;19261.91;21040.04;15260.82;0;2325.77;24911.8;5786.71;15967.95;25530.15;21593.64;10118.19;12107.7;17074.79;6923.38;19167.29;19531.45;15541.99;3618.29;20484.38;17944.59;16915.56;21840.88;8415.24;23034.06;15420.6
2010-08-01;1875525.87;17473.37;20325.48;34257.57;36870.74;22122.61;30836.96;41803.32;18784.97;22583.94;20158.23;3003.9;7824.15;29388.54;17456.07;37630.04;10360.77;18762.8;19659.43;10819.4;0;30909.12;7434.38;37002.87;15790.99;15853.9;19507.67;26933.41;19369.21;22144.36;29898.82;17983.4;4354.93;29072.94;18345.34;12873.81;11260;0;17309.91;24978.74;19659.97;13189.28;0;7945.27;0;18206.13;36315.94;23054.12;23197.5;12369.1;17561.13;16326.81;0;13814.06;16982.44;34208.93;19294.92;2391.44;30698.91;15789.5;0;23223.31;19354.45;18025.49;18620;40851;12915.58;28931.28;20752.46;19067.95;14510.57;12527.28;28886.17;16182.07;33682.38;13569.09;17645.75;13355.78;18544.19;26434;19180.43;20609.75;16004.12;0;1767.06;25519.8;5924.67;16568.09;25290;21340.13;9638.09;12324.98;16890.58;4873.95;17749.37;19279.12;15769.8;3363.14;19996.15;18102.96;17041.25;21746.72;8887.81;23258.69;15168.89
2010-09-01;1926872.76;17676.03;21838.49;35514.46;38547.6;25647.82;31212.68;41154.46;19500.17;22987.47;21058.01;4328.08;8573.56;30952.6;16787.44;40375.87;10548.15;19036.08;20060.83;9214.33;0;31375.36;7540.36;39157.76;20737.53;16947.61;20342.28;28413.98;19616.58;23139.09;31214.38;18716.31;3638.79;29940.37;16816.65;13733.16;10407;0;18568.28;25914.67;19529.44;13293.21;0;8130.5;0;19016.42;35611.73;22827.87;23668.5;12537.05;18013.09;16741.88;0;14222.63;17817.78;37152.47;20192.44;2448.66;32212.59;11084.88;0;24228.72;19995.38;17770.56;15590;41773.21;13273.35;29115.12;22194.03;21558.98;13972.13;12034.53;29862.8;18877.39;34501.75;13695.62;15734.18;13336.54;18891.46;27166.22;19022.11;21448.76;16297.3;0;2275.15;27231.18;7443.5;17636.52;24497.04;22316.38;10479.62;10939.03;17566.79;5144.4;18313.52;19715.13;15383.58;3256.78;20989.9;18918.88;18041.42;22623.5;9150.57;23699.31;15175.04
2010-10-01;1962168.27;17941.21;23155.71;35692.38;39239.1;26492.28;31662.37;43036.91;20299.44;23189.57;23036.54;3000.27;10579.55;30558.36;18192.94;41017.43;11041.06;17658.43;20123.11;10612.79;0;32351.38;7411.8;39404.46;20129.8;18190.33;21532.31;29143.09;20008.93;24486.55;33247.92;17679.92;4658.86;30610.2;15718.24;13642.22;10060;0;19996.41;26403.83;19258.13;13748.55;0;8169.14;0;19802.31;35984.77;23743.56;23967;13029.2;18261.35;16706.06;0;14411;17742.91;37577.44;20713.49;1386.02;32852.98;13596.91;0;25104.06;20701.77;16697.28;16309.16;43945.51;12701.42;29748.79;24511.67;23190.85;14440.05;13885.28;28932.2;18149.96;35134.63;13795.68;15311.36;13021.48;18970.12;25727.99;18434.42;20438.76;16665.18;0;1903.52;28053.69;7176.19;16434.2;25402.19;21452.94;10884.91;12642.3;17583.48;3788.36;19866.41;19696.92;15998.24;3534.45;22430.81;18941.89;16921.95;21236.1;10886.21;23880.69;15478.7
