,soma
2021-01-01,2200677.38526944
2021-02-01,2200677.38526944
2021-03-01,2200677.38526944
2021-04-01,2200677.38526944
2021-05-01,1982734.8618286683
2021-06-01,1839440.885
2021-07-01,1867181.6480498707
2021-08-01,2078112.0106630845
2021-09-01,1943749.6834725305
2021-10-01,2100670.1554252617
2021-11-01,2120767.1872116136
2021-12-01,2200677.38526944
